order,card,label,age,sex,facing,year,mean_guess,error,abs_error,sq_error,detailed description,jpeg
1,1,Chong,21,M,R,2023,27.9,6.9,6.9,47.61,"Eric Chong, Master Chef Canada winner, in April 2014",ageguess01
2,2,Archuleta,64,F,L,2023,53,-11,11,121,"Katherine Archuleta, former U.S. OPM Director, in 2013",ageguess02
3,3,Mayfield,28,F,L,2023,30.2,2.2,2.2,4.84,"Elise Mayfield, Chef, http://elisemayfield.com in 2014",ageguess03
4,4,Love,14,M,L,2023,16,2,2,4,"Kevin Love, taken June 2014",ageguess04
5,5,McGinn,54,F,R,2023,61.6,7.6,7.6,57.76,"Rosemary McGinn, in July 2013",ageguess05
6,6,Chaney,74,M,L,2023,72,-2,2,4,"Basketball Coach John Chaney, in 2006",ageguess06
7,7,Storm,44,M,R,2023,47.3,3.3,3.3,10.89,"David Storm, in August 2014",ageguess07
8,8,Glantz,83,F,L,2023,78.6,-4.4,4.4,19.36,"Writer Margo Glantz, in 2013",ageguess08
9,9,Honey,24,M,L,2023,32.9,8.9,8.9,79.21,"Fugitive Quade Ross Honey, in 2012",ageguess09
10,10,Lawson,34,F,R,2023,28.8,-5.2,5.2,27.04,"Actress Bianca Lawson, in 2013",ageguess10
11,1,Chong,21,M,R,2022,27.4,6.4,6.4,40.96,"Eric Chong, Master Chef Canada winner, in April 2014",ageguess01
12,2,Archuleta,64,F,L,2022,54.3,-9.7,9.7,94.09,"Katherine Archuleta, former U.S. OPM Director, in 2013",ageguess02
13,3,Mayfield,28,F,L,2022,30.6,2.6,2.6,6.76,"Elise Mayfield, Chef, http://elisemayfield.com in 2014",ageguess03
14,4,Love,14,M,L,2022,16.3,2.3,2.3,5.29,"Kevin Love, taken June 2014",ageguess04
15,5,McGinn,54,F,R,2022,62.4,8.4,8.4,70.56,"Rosemary McGinn, in July 2013",ageguess05
16,6,Chaney,74,M,L,2022,69.9,-4.1,4.1,16.81,"Basketball Coach John Chaney, in 2006",ageguess06
17,7,Storm,44,M,R,2022,50.1,6.1,6.1,37.21,"David Storm, in August 2014",ageguess07
18,8,Glantz,83,F,L,2022,78.2,-4.8,4.8,23.04,"Writer Margo Glantz, in 2013",ageguess08
19,9,Honey,24,M,L,2022,34.6,10.6,10.6,112.36,"Fugitive Quade Ross Honey, in 2012",ageguess09
20,10,Lawson,34,F,R,2022,30.2,-3.8,3.8,14.44,"Actress Bianca Lawson, in 2013",ageguess10
21,1,Chong,21,M,R,2021,25.9,4.9,4.9,24.01,"Eric Chong, Master Chef Canada winner, in April 2014",ageguess01
22,2,Archuleta,64,F,L,2021,53.6,-10.4,10.4,108.16,"Katherine Archuleta, former U.S. OPM Director, in 2013",ageguess02
23,3,Mayfield,28,F,L,2021,28.6,0.6,0.6,0.36,"Elise Mayfield, Chef, http://elisemayfield.com in 2014",ageguess03
24,4,Love,14,M,L,2021,14.9,0.9,0.9,0.81,"Kevin Love, taken June 2014",ageguess04
25,5,McGinn,54,F,R,2021,61.3,7.3,7.3,53.29,"Rosemary McGinn, in July 2013",ageguess05
26,6,Chaney,74,M,L,2021,70.9,-3.1,3.1,9.61,"Basketball Coach John Chaney, in 2006",ageguess06
